smiles,pIC50
C1=CC(=CC(=C1)NC(=O)NC2=C(C=C(C=C2)F)F)C3=CN=C4N3C=CN=C4NC(=O)C5=CC(=C(C=C5)F)C(F)(F)F,"6,387216143"
C1=CC(=CC(=C1)NC(=O)NC2=C(C=C(C=C2)F)F)C3=CN=C4N3C=CN=C4NC(=O)C5=CC(=C(C=C5)Cl)C(F)(F)F,"6,096910013"
C1=CC(=CC(=C1)NC(=O)C2=CC(=C(C=C2)Cl)C(F)(F)F)C3=CN=C4N3C=CN=C4NC(=O)C5=CC(=CC(=C5)Cl)Cl,"7,397940009"
C1=CC(=CC(=C1)NC(=O)C2=CC(=C(C=C2)Cl)C(F)(F)F)C3=CN=C4N3C=CN=C4NC(=O)C5=CC(=C(C=C5)F)Cl,"5,543633967"
C1=CC(=CC(=C1)NC(=O)NC2=CC(=C(C=C2)Cl)C(F)(F)F)C3=CN=C4N3C=CN=C4NC(=O)C5=CC(=C(C=C5)F)Cl,"5,89279003"
C1=CC(=CC(=C1)NC(=O)C2=CC(=C(C=C2)Cl)C(F)(F)F)C3=CN=C4N3C=CN=C4NC(=O)C5=CC=C(C=C5)C(F)(F)F,"5,795880017"
C1=CC=C(C=C1)C(=O)NC2=CC=CN3C2=NC=C3C4=CC(=CC=C4)NC(=O)C5=CC=C(C=C5)Br,"5,197226275"
C1=CC=C(C=C1)C(=O)NC2=CC=CN3C2=NC=C3C4=CC(=CC=C4)NC(=O)C5=CC(=CC=C5)C(F)(F)F,"4,522878745"
C1=CC=C(C=C1)C(=O)NC2=CC=CN3C2=NC=C3C4=CC(=CC=C4)NC(=O)C5=CC=C(C=C5)C(F)(F)F,"5,769551079"
C1=CC=C(C=C1)C(=O)NC2=CC=CN3C2=NC=C3C4=CC(=CC=C4)NC(=O)C5=CC(=C(C=C5)F)C(F)(F)F,"4,522878745"
C1=CC=C(C=C1)C(=O)NC2=CC=CN3C2=NC=C3C4=CC(=CC=C4)NC(=O)C5=CC(=C(C=C5)Cl)C(F)(F)F,"4,522878745"
CC1=C(C=C(C=C1)C(=O)NC2=NC=CN3C2=NC=C3C4=CC(=CC=C4)NC(=O)NC5=CC(=C(C=C5)Cl)C(F)(F)F)Cl,"5,935542011"
C1=CC(=CC(=C1)NC(=O)NC2=CC(=C(C=C2)Cl)C(F)(F)F)C3=CN=C4N3C=CN=C4NC(=O)C5=CC(=CC=C5)C(F)(F)F,"6,251811973"
C1=CC(=CC(=C1)NC(=O)NC2=CC(=C(C=C2)Cl)C(F)(F)F)C3=CN=C4N3C=CN=C4NC(=O)C5=CC=C(C=C5)C(F)(F)F,"5,756961951"
C1=CC(=CC(=C1)NC(=O)NC2=CC(=C(C=C2)Cl)C(F)(F)F)C3=CN=C4N3C=CN=C4NC(=O)C5=CC(=CC(=C5)C(F)(F)F)C(F)(F)F,8
C1=CC(=CC(=C1)NC(=O)C2=CC(=C(C=C2)Cl)C(F)(F)F)C3=CN=C4N3C=CN=C4NC(=O)C5=CC(=CC(=C5)C(F)(F)F)C(F)(F)F,"6,259637311"
C1=CC(=CC(=C1)NC(=O)C2=CC(=C(C=C2)F)Cl)C3=CN=C4N3C=CN=C4NC(=O)C5=CC(=C(C=C5)F)Cl,"6,050609993"
C1=CC(=CC(=C1)NC(=O)C2=CC(=C(C=C2)F)Cl)C3=CN=C4N3C=CN=C4NC(=O)C5=CC(=C(C(=C5)Cl)F)Cl,"5,88941029"
CC1=C(C=C(C=C1)C(=O)NC2=NC=CN3C2=NC=C3C4=CC(=CC=C4)NC(=O)C5=CC(=C(C=C5)F)Cl)Cl,"6,008773924"
C1=CC(=CC(=C1)NC(=O)C2=CC(=C(C=C2)F)Cl)C3=CN=C4N3C=CN=C4NC(=O)C5=CC=C(C=C5)Br,"6,30980392"
C1=CC(=CC(=C1)NC(=O)C2=CC(=C(C=C2)F)Cl)C3=CN=C4N3C=CN=C4NC(=O)C5=CC(=CC=C5)C(F)(F)F,"5,966576245"
C1=CC=C(C=C1)C(=O)NC2=CC=CC(=C2)C3=CN=C4N3C=CC=C4NC(=O)C5=CC=CC=C5,"4,522878745"
C1=CC=C(C=C1)C(=O)NC2=CC=CN3C2=NC=C3C4=CC(=CC=C4)NC(=O)C5=CC(=CC(=C5)F)F,"5,100179498"
C1=CC(=CC(=C1)NC(=O)NC2=CC(=C(C=C2)Cl)C(F)(F)F)C3=CN=C4N3C=CN=C4NC(=O)C5=CC(=C(C=C5)F)C(F)(F)F,"7,22184875"
C1=CC(=CC(=C1)NC(=O)C2=CC(=C(C=C2)Cl)C(F)(F)F)C3=CN=C4N3C=CN=C4NC(=O)C5=CC(=C(C=C5)F)C(F)(F)F,"6,337242168"
C1=CC(=CC(=C1)NC(=O)C2=CC(=C(C=C2)Cl)C(F)(F)F)C3=CN=C4N3C=CN=C4NC(=O)C5=CC(=C(C=C5)Cl)C(F)(F)F,"5,609064893"
C1=CC(=CC(=C1)NC(=O)C2=CC(=C(C=C2)Cl)C(F)(F)F)C3=CN=C4N3C=CN=C4NC(=O)C5=CC(=CC=C5)OC(F)(F)F,"5,987162775"
